INFO:p2p_network:[charlie] P2P Node initialized on 127.0.0.1:9003
INFO:full_node:[charlie] Blockchain initialized - Height: 0
INFO:full_node:[charlie] Restored 6 block(s) from disk - Height: 6
INFO:p2p_network:[charlie] P2P Server listening on 127.0.0.1:9003
INFO:__main__:Starting RPC server on 127.0.0.1:8003
INFO:wsgi_server:Serving with waitress on 127.0.0.1:8003 (threads=16)
INFO:waitress:Serving on http://127.0.0.1:8003
INFO:p2p_network:[charlie] Connected to peer: bob
INFO:p2p_network:[charlie] Connected to peer: alice at 127.0.0.1:9001
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 275
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 276
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 277
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 278
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 279
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 280
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 281
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 282
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 283
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 284
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 285
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 286
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 287
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 288
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 289
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 290
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 291
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 292
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 293
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 294
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 295
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 296
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 297
INFO:full_node:[charlie] Synced -> Height: 298
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 299
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 300
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 301
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 302
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 303
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 304
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 305
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 306
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 307
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 308
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 309
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 310
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 311
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 312
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 313
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 314
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 315
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 316
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 317
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 318
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 319
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 320
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 321
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 322
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 323
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 324
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 325
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 326
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 327
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 328
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 329
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 330
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 331
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 332
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 333
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 334
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 335
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 336
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 337
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 338
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 339
